title,isbn,price_eur,shop_link,google_search_link,shop,date_scraped
"Детский журнал ""Фита"" №3",N/A,13.85,https://nmbooks.shop/products/детский-журнал-фита-3,N/A,nm_books,2026-03-29
"Детский журнал ""Фита"" №2",N/A,13.85,https://nmbooks.shop/products/детский-журнал-фита-2,N/A,nm_books,2026-03-29
"Детский журнал ""Фита"" №1",N/A,13.85,https://nmbooks.shop/products/детский-журнал-фита-1,N/A,nm_books,2026-03-29
Виктор Пелевин. A sinistra,N/A,16.3,https://nmbooks.shop/products/виктор-пелевин,N/A,nm_books,2026-03-29
"Диктатор, который умер дважды: Невероятная история Антониу Салазара",9785961487817,13.53,https://nmbooks.shop/products/n0021,https://www.google.com/search?q=9785961487817,nm_books,2026-03-29
Елена Костюченко «Моя любимая страна»,9789934239427,24.45,https://nmbooks.shop/products/n0097,https://www.google.com/search?q=9789934239427,nm_books,2026-03-29
Дмитрий Глуховский. Мы. Дневник падения,9788097468309,27.3,https://nmbooks.shop/products/10488,https://www.google.com/search?q=9788097468309,nm_books,2026-03-29
Павел Казарин. Дикий Запад Восточной Европы,9789669826893,8.15,https://nmbooks.shop/products/d10416,https://www.google.com/search?q=9789669826893,nm_books,2026-03-29
Натали Безмен. Доктор покупает ботинки,9786178252304,12.22,https://nmbooks.shop/products/d10420,https://www.google.com/search?q=9786178252304,nm_books,2026-03-29
Анна Берсенева. Рейнское золотое,N/A,13.04,https://nmbooks.shop/products/d10419,N/A,nm_books,2026-03-29
Тод Штрассер. Волна,9785917597508,10.19,https://nmbooks.shop/products/d10544,https://www.google.com/search?q=9785917597508,nm_books,2026-03-29
Джонатан Литтелл и Антуан Д’Агата. «Неудобное место»,9789934921636,30.56,https://nmbooks.shop/products/n0194,https://www.google.com/search?q=9789934921636,nm_books,2026-03-29
"Свен Нурдквист ""Переполох в огороде""",9785001143659,11.0,https://nmbooks.shop/products/n0219,https://www.google.com/search?q=9785001143659,nm_books,2026-03-29
"Свен Нурдквист ""Петсон идёт в поход""",9785001143406,11.41,https://nmbooks.shop/products/n0218,https://www.google.com/search?q=9785001143406,nm_books,2026-03-29
"Свен Нурдквист ""Петсон и Финдус изучают животных""",9785001143895,9.78,https://nmbooks.shop/products/n0217,https://www.google.com/search?q=9785001143895,nm_books,2026-03-29
"Свен Нурдквист ""Петсон грустит""",9785001143390,11.41,https://nmbooks.shop/products/n0216,https://www.google.com/search?q=9785001143390,nm_books,2026-03-29
"Свен Нурдквист ""Охота на лис""",9785906640079,11.0,https://nmbooks.shop/products/n0215,https://www.google.com/search?q=9785906640079,nm_books,2026-03-29
Андрей Зубов. История России XIX столетия (том 1),9788069096059,30.56,https://nmbooks.shop/products/10487,https://www.google.com/search?q=9788069096059,nm_books,2026-03-29
"Владимир Сорокин ""Наследие""",9785171458034,24.45,https://nmbooks.shop/products/n0213,https://www.google.com/search?q=9785171458034,nm_books,2026-03-29
Джон Хейвуд: Люди Севера (плотная обложка),9785001390008,18.34,https://nmbooks.shop/products/n0018,https://www.google.com/search?q=9785001390008,nm_books,2026-03-29
Виктор Шендерович. Девяноска,9788097468323,26.49,https://nmbooks.shop/products/n0210,https://www.google.com/search?q=9788097468323,nm_books,2026-03-29
"Эмманюэль Гибер, Марк Бутаван. Ариоль. Лучший в мире поросенок",9785907305533,12.22,https://nmbooks.shop/products/n0209,https://www.google.com/search?q=9785907305533,nm_books,2026-03-29
"Андрей Макаревич ""Звонок телефона в осеннем лесу""",9789659308309,18.34,https://nmbooks.shop/products/n0208,https://www.google.com/search?q=9789659308309,nm_books,2026-03-29
Люси и Стивен Хокинг: Джордж и Большой взрыв,9785437002018,20.37,https://nmbooks.shop/products/10231,https://www.google.com/search?q=9785437002018,nm_books,2026-03-29
"Эмманюэль Гибер, Марк Бутаван. Ариоль. Телячьи нежности",9785906331632,12.22,https://nmbooks.shop/products/10483,https://www.google.com/search?q=9785906331632,nm_books,2026-03-29
"Эмманюэль Гибер, Марк Бутаван. Ариоль. Шевалье Мустанг",9785907305656,12.22,https://nmbooks.shop/products/10538,https://www.google.com/search?q=9785907305656,nm_books,2026-03-29
"Эмманюэль Гибер, Марк Бутаван. Ариоль. Танцуют все",9785907305625,12.22,https://nmbooks.shop/products/10537,https://www.google.com/search?q=9785907305625,nm_books,2026-03-29
"Эмманюэль Гибер, Марк Бутаван. Ариоль. Муха-горюха",9785906331878,12.22,https://nmbooks.shop/products/10536,https://www.google.com/search?q=9785906331878,nm_books,2026-03-29
"Эмманюэль Гибер, Марк Бутаван. Ариоль. Господин Пес",9785907305700,12.22,https://nmbooks.shop/products/10535,https://www.google.com/search?q=9785907305700,nm_books,2026-03-29
Даниил Туровский. Разрыв,9789934921667,18.34,https://nmbooks.shop/products/10516,https://www.google.com/search?q=9789934921667,nm_books,2026-03-29
Мишель Уэльбек: Уничтожить,9785171483302,25.26,https://nmbooks.shop/products/10413,https://www.google.com/search?q=9785171483302,nm_books,2026-03-29
Энн Эпплбаум: ГУЛАГ,9785170852291,30.56,https://nmbooks.shop/products/10317-1,https://www.google.com/search?q=9785170852291,nm_books,2026-03-29
Свен Нурдквист: Рождество в домике Петсона,N/A,11.41,https://nmbooks.shop/products/10158,N/A,nm_books,2026-03-29
"Ирина Фуфаева: Как называются женщины. Феминитивы: история, устройство, конкуренция",N/A,15.28,https://nmbooks.shop/products/10108,N/A,nm_books,2026-03-29
"Илья Барабанов, Денис Коротков. «Наш бизнес — смерть». Полная история ЧВК ""Вагнер"" и ее основателя Евгения Пригожина",9789934921629,24.45,https://nmbooks.shop/products/10429,https://www.google.com/search?q=9789934921629,nm_books,2026-03-29
Григорий Родченков. Допинг. Запрещенные страницы,9789934925504,24.45,https://nmbooks.shop/products/10510,https://www.google.com/search?q=9789934925504,nm_books,2026-03-29
"Евгений Торчинов ""Введение в буддизм""",9785171587970,22.41,https://nmbooks.shop/products/d10582,https://www.google.com/search?q=9785171587970,nm_books,2026-03-29
"Вторая навигация, философский сборник статей альманаха",9783039740352,27.5,https://nmbooks.shop/products/10444-vac1,https://www.google.com/search?q=9783039740352,nm_books,2026-03-29
Валерий Бочков. Харон,9786178169862,12.22,https://nmbooks.shop/products/валерий-бочков-харон,https://www.google.com/search?q=9786178169862,nm_books,2026-03-29
"Якуб Микановски. Гудбай, Восточная Европа!",9785041957414,10.19,https://nmbooks.shop/products/10503,https://www.google.com/search?q=9785041957414,nm_books,2026-03-29
Елена Колина: Толстовский дом,9785170884551,15.89,https://nmbooks.shop/products/10250,https://www.google.com/search?q=9785170884551,nm_books,2026-03-29
Вера Полозкова. Lost and Found,9788069096080,20.37,https://nmbooks.shop/products/10525,https://www.google.com/search?q=9788069096080,nm_books,2026-03-29
