Book Name;ISBN;Price (EUR);Original Price;Original Currency;Available
Темная сторона Земли;N/A;72,94;265,00;ILS;Yes
Темная сторона Земли;N/A;15,41;56,00;ILS;Yes
Маклир Корни: о сплетеньях жизни и семейных тайнах;N/A;22,02;80,00;ILS;Yes
Социальная и религиозная история евреев. Том XIII. Позднее Средневековье;N/A;41,29;150,00;ILS;No
Как читать книги. Руководство по чтению великих произведений;N/A;22,02;80,00;ILS;Yes
Книга 2.0. Прошлое, настоящее и будущее электронных книг глазами создателя Kindle;N/A;0,00;0,00;ILS;Yes
И все это Шекспир. Самая эротичная комедия, самая драматичная трагедия, сгорающие от стыда мужчины,;N/A;0,00;0,00;ILS;Yes
Блокнот для изучения иностранного языка;N/A;0,00;0,00;ILS;Yes
Суд Соломона;N/A;37,16;135,00;ILS;Yes
Дом на линии огня;N/A;53,68;195,00;ILS;No
Дом на линии огня;N/A;11,01;40,00;ILS;Yes
Белая дама;N/A;49,55;180,00;ILS;No
Белая дама;N/A;11,01;40,00;ILS;Yes
Куда дрейфуют диктатуры?;N/A;53,68;195,00;ILS;Yes
Куда дрейфуют диктатуры?;N/A;11,01;40,00;ILS;Yes
Биробиджанский дневник;N/A;63,31;230,00;ILS;No
Биробиджанский дневник;N/A;11,01;40,00;ILS;Yes
Наш бизнес смерть;N/A;53,68;195,00;ILS;Yes
Наш бизнес смерть;N/A;11,01;40,00;ILS;Yes
Когда мы поём, поднимается ветер;N/A;70,19;255,00;ILS;Yes
50 (пятьдесят);N/A;64,69;235,00;ILS;Yes
Приключение Тима в поисках потерянного аппетита;N/A;17,89;65,00;ILS;Yes
Развиваем мышление;N/A;13,76;50,00;ILS;No
Невероятная история о гигантской груше;N/A;26,15;95,00;ILS;Yes
Просто классика! Антиучебник по литературе;N/A;45,42;165,00;ILS;No
Возвращение. Несерьезный мемуар;N/A;46,79;170,00;ILS;No
Джафар Панахи. Свободное кино несвободного Ирана;N/A;45,42;165,00;ILS;Yes
Пушкин. Книга про всё;N/A;45,42;165,00;ILS;Yes
Избитые истины. На русском и английском языках;N/A;41,29;150,00;ILS;Yes
Легенда о Карагай. Роман в 40 некрологах;N/A;20,37;74,00;ILS;Yes
Дилеммы и достижения. О национальном характере современного демократическог государства;N/A;15,14;55,00;ILS;Yes
Еврейское государство. Автоэмансипация;N/A;20,64;75,00;ILS;No
Еврейский вопрос в Еврейском государстве. Опыт формирования национального характера современного демократического государства;N/A;15,14;55,00;ILS;Yes
Кру и Шустер;N/A;24,77;90,00;ILS;Yes
Путешествие вокруг моей комнаты. Ночная экспедиция вокруг моей комнаты;N/A;16,52;60,00;ILS;Yes
Евгений Шварц. Судьба Сказочника в эпоху Дракона;N/A;33,03;120,00;ILS;Yes
Озарения молнии. Правдивая история шамана Александра Габышева, который хотел, но не смог изгнать демона из Кремля;N/A;23,40;85,00;ILS;Yes
Фарфоровый граф;N/A;30,28;110,00;ILS;Yes
«История жизни на Земле». Курс лекций Александра Маркова. Лекция семнадцатая;9827238429565;22,02;80,00;ILS;Yes
Меморандум Гольдмана;N/A;38,54;140,00;ILS;No
Невидимка (на русском языке и иврите);N/A;33,03;120,00;ILS;Yes
Честное слово;N/A;33,03;120,00;ILS;No
Распад. Судьба советского критика: 1940-50-е годы;N/A;39,91;145,00;ILS;No
Ольга Берггольц: смерти не было и нет. Опыт прочтения судьбы;N/A;39,91;145,00;ILS;No
Русская нарезка;N/A;35,78;130,00;ILS;Yes
Феликс убил Лару;N/A;37,16;135,00;ILS;Yes
Великий гопник;N/A;53,68;195,00;ILS;No
Лилиенблюм;N/A;17,89;65,00;ILS;Yes
Освобождение от ностальгии;N/A;15,14;55,00;ILS;Yes
Тупые и острые предметы;N/A;17,89;65,00;ILS;Yes
Микросупергерои. Самые умные;N/A;26,43;96,00;ILS;Yes
Конармия. Одесские рассказы;N/A;28,90;105,00;ILS;No
Незамеченное поколение. Контекст. Судьбы. Темы;N/A;41,29;150,00;ILS;Yes
Российско-украинская война. Возвращение истории;N/A;41,29;150,00;ILS;Yes
